20115: ['01', '09', '18', '19', '23'], ['01', '09']
20116: ['08', '10', '12', '16', '22'], ['03', '09']
20117: ['07', '19', '20', '23', '24'], ['05', '10']
20118: ['01', '09', '15', '30', '33'], ['04', '09']
20119: ['14', '22', '24', '28', '32'], ['07', '08']
20120: ['05', '25', '26', '30', '35'], ['04', '10']
20121: ['09', '17', '27', '28', '35'], ['03', '08']
20122: ['08', '19', '29', '34', '35'], ['06', '11']
20123: ['01', '07', '11', '15', '21'], ['04', '11']
20124: ['11', '15', '24', '26', '35'], ['04', '05']
20125: ['01', '02', '03', '08', '22'], ['01', '04']
20126: ['01', '04', '09', '22', '28'], ['04', '12']
20127: ['01', '04', '17', '18', '26'], ['03', '10']
20128: ['09', '12', '13', '26', '33'], ['04', '10']
20129: ['10', '22', '27', '33', '34'], ['01', '11']
20130: ['16', '17', '23', '26', '32'], ['02', '12']
20131: ['08', '25', '27', '29', '35'], ['02', '03']
20132: ['03', '15', '16', '17', '21'], ['07', '10']
20133: ['11', '24', '26', '33', '35'], ['08', '09']
20134: ['08', '11', '13', '22', '25'], ['04', '07']
21001: ['02', '06', '12', '19', '33'], ['08', '09']
21002: ['02', '16', '26', '31', '34'], ['09', '11']
21003: ['07', '21', '28', '31', '35'], ['04', '10']
21004: ['05', '10', '17', '23', '28'], ['02', '08']
21005: ['03', '07', '10', '12', '35'], ['03', '05']
21006: ['04', '22', '25', '28', '35'], ['04', '05']
21007: ['05', '23', '30', '34', '35'], ['08', '10']
21008: ['05', '19', '20', '27', '33'], ['03', '08']
21009: ['01', '03', '20', '29', '32'], ['05', '12']
21010: ['01', '05', '16', '22', '34'], ['08', '11']
21011: ['06', '09', '11', '14', '21'], ['01', '03']
21012: ['06', '12', '20', '23', '33'], ['01', '09']
21013: ['21', '27', '28', '30', '34'], ['08', '11']
21014: ['07', '13', '20', '27', '29'], ['04', '09']
21015: ['04', '08', '17', '19', '25'], ['01', '07']
21016: ['08', '09', '10', '19', '34'], ['01', '02']
21017: ['17', '21', '26', '29', '32'], ['02', '07']
21018: ['02', '20', '23', '26', '34'], ['05', '10']
21019: ['01', '12', '13', '28', '29'], ['03', '04']
21020: ['07', '21', '22', '30', '33'], ['04', '06']
21021: ['16', '18', '29', '33', '35'], ['09', '12']
21022: ['02', '12', '22', '30', '33'], ['02', '04']
21023: ['07', '09', '13', '16', '32'], ['02', '09']
21024: ['11', '14', '21', '24', '31'], ['02', '10']
21025: ['17', '18', '23', '30', '31'], ['10', '12']
21026: ['07', '11', '20', '24', '27'], ['01', '11']
21027: ['09', '21', '22', '26', '30'], ['04', '12']
21028: ['02', '03', '05', '17', '29'], ['04', '10']
21029: ['02', '06', '10', '32', '33'], ['04', '07']
21030: ['18', '23', '25', '26', '32'], ['02', '07']
21031: ['01', '04', '19', '20', '34'], ['03', '05']
21032: ['01', '11', '14', '34', '35'], ['07', '10']
21033: ['01', '03', '05', '30', '32'], ['01', '05']
21034: ['08', '10', '14', '25', '34'], ['07', '08']
21035: ['05', '11', '16', '30', '32'], ['03', '04']
